country,total_articles,avg_wordcount,med_wordcount,total_fatalities,region_group,Animals farmed,Art and design,Australia news,Books,Business,Business to business,Children's books,Cities,Community,Crosswords,Culture,Culture professionals network,Education,Environment,Fashion,Film,Food,Football,From the Guardian,From the Observer,Games,Global,Global Development Professionals Network,Global development,Guardian Careers,Guardian Foundation,Guardian Small Business Network,Guardian Sustainable Business,Healthcare Professionals Network,Housing Network,Inequality,Info,Law,Life and style,Media,Media Network,Membership,Money,Music,News,Opinion,Politics,Public Leaders Network,Science,Social Care Network,Society,Society Professionals,Sport,Stage,Teacher Network,Technology,Television & radio,Travel,UK news,US news,Vital Signs,Voluntary Sector Network,Weather,Wellness,Women in Leadership,Working in development,World news,articles_per_1000_fatalities
Madagascar,101,872.8910891089109,753.0,3080,Global South,0.0,0.9900990099009901,0.0,0.9900990099009901,0.9900990099009901,0.0,0.0,0.9900990099009901,0.0,0.0,1.9801980198019802,0.0,0.0,28.71287128712871,0.0,1.9801980198019802,0.0,0.9900990099009901,0.0,0.0,0.0,0.0,1.9801980198019802,23.762376237623762,0.0,0.0,0.0,2.9702970297029703,0.0,0.0,0.0,0.0,0.0,0.9900990099009901,0.9900990099009901,0.0,0.0,0.0,0.0,0.9900990099009901,4.9504950495049505,0.0,0.0,2.9702970297029703,0.0,0.9900990099009901,0.0,0.0,0.0,0.0,0.9900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.792079207920793,32.79220779220779
Malawi,197,824.1269035532995,737.0,344,Global South,0.0,2.5380710659898478,0.0,1.015228426395939,2.030456852791878,0.0,0.0,0.5076142131979695,0.0,0.0,0.0,0.0,1.5228426395939088,5.583756345177665,0.0,2.030456852791878,0.0,0.0,0.0,0.0,0.0,0.0,4.060913705583756,53.299492385786806,0.0,0.0,0.0,0.5076142131979695,0.0,0.0,0.0,0.0,0.0,0.5076142131979695,1.015228426395939,0.0,0.0,0.0,1.5228426395939088,0.0,2.5380710659898478,0.5076142131979695,0.0,0.0,0.0,2.030456852791878,0.0,0.0,0.5076142131979695,0.0,0.0,0.0,0.0,0.5076142131979695,0.0,0.0,0.0,0.0,0.0,0.0,2.030456852791878,15.736040609137056,572.6744186046512
Malaysia,636,791.0,653.5,51,Global South,0.0,0.0,3.930817610062893,0.7861635220125787,3.6163522012578615,0.0,0.0,1.4150943396226416,0.0,0.0,0.15723270440251574,0.0,0.15723270440251574,5.345911949685535,0.15723270440251574,2.8301886792452833,0.0,0.4716981132075472,0.0,0.0,0.0,0.0,0.3144654088050315,5.50314465408805,0.0,0.0,0.0,1.257861635220126,0.0,0.0,0.0,0.0,0.628930817610063,0.4716981132075472,1.4150943396226416,0.0,0.15723270440251574,0.15723270440251574,1.10062893081761,0.628930817610063,4.245283018867925,0.628930817610063,0.0,0.4716981132075472,0.0,0.7861635220125787,0.0,0.15723270440251574,0.0,0.0,0.0,0.0,0.15723270440251574,1.5723270440251573,1.10062893081761,0.0,0.0,0.0,0.0,0.0,0.4716981132075472,59.905660377358494,12470.588235294117
Maldives,70,747.1428571428571,692.0,1,Global South,0.0,0.0,1.4285714285714286,4.285714285714286,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,21.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286,0.0,0.0,0.0,0.0,0.0,7.142857142857142,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.285714285714285,70000.0
Mali,226,873.862831858407,765.5,23283,Global South,0.0,2.6548672566371683,0.4424778761061947,0.0,0.8849557522123894,0.0,0.0,0.4424778761061947,0.0,0.0,0.4424778761061947,0.0,0.4424778761061947,1.3274336283185841,0.0,3.0973451327433628,0.0,0.8849557522123894,0.0,0.0,0.0,0.0,1.3274336283185841,19.469026548672566,0.0,0.0,0.0,0.4424778761061947,0.0,0.0,0.0,0.0,1.3274336283185841,0.8849557522123894,0.4424778761061947,0.0,0.0,0.0,9.734513274336283,0.0,5.3097345132743365,0.4424778761061947,0.0,0.8849557522123894,0.0,1.3274336283185841,0.0,0.0,0.0,0.0,0.4424778761061947,0.0,0.0,0.8849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,2.2123893805309733,44.24778761061947,9.706652922733324
Malta,243,967.1893004115226,712.0,0,Western,0.0,0.0,0.411522633744856,1.646090534979424,2.4691358024691357,0.0,0.0,0.823045267489712,0.0,0.0,0.0,0.0,1.2345679012345678,2.880658436213992,0.0,2.4691358024691357,0.0,1.2345679012345678,0.0,0.0,0.0,0.0,0.0,4.11522633744856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.823045267489712,0.823045267489712,2.880658436213992,0.0,0.823045267489712,0.0,0.411522633744856,2.05761316872428,4.526748971193416,6.995884773662551,0.0,0.0,0.0,0.411522633744856,0.0,0.0,1.2345679012345678,0.0,0.411522633744856,0.0,0.0,1.646090534979424,0.411522633744856,0.0,0.0,0.0,0.0,0.0,0.823045267489712,58.43621399176955,
Marshall Islands,59,956.4915254237288,828.0,0,Global South,0.0,0.0,5.084745762711865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.11864406779661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.084745762711865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.016949152542374,
Mauritania,36,743.9722222222222,715.0,36,Global South,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,5.555555555555555,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,2.7777777777777777,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,22.22222222222222,1000.0
Mauritius,80,772.55,671.5,11,Global South,0.0,0.0,0.0,3.75,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,1.25,5.0,0.0,0.0,0.0,0.0,1.25,10.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,3.75,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,58.75,7272.727272727272
Mayotte,11,744.4545454545455,751.0,5,Global South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818181818183,2200.0
